site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,NA,2.779,2.715,0.047,0.017311234,69.23,446.48,68.24,64.54,38.01,1.795317022,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,NA,3.123,3.12,0.0521,0.016698718,70.83,450.07,70.81,66.1,39.58,1.789034866,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2000,NA,3.209,3.048,0.0488,0.016010499,64.58,445.88,64.22,60.47,35.6,1.803932584,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,2000,field duplicate,3.362,3.072,0.0472,0.015364583,55.81,447.86,55.36,51.95,30.58,1.810333551,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2000,NA,2.925,2.803,0.0455,0.016232608,69.42,446.52,68.24,65.19,38.46,1.774310972,NA
field_blank,field blank,NA,NA,2000,field blank,0.281,0.243,0.0011,0.004526749,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,NA,3.374,2.774,0.047,0.016943043,59.34,448.05,58.99,55.28,32.29,1.826881387,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,2.792,2.587,0.027,0.010436799,34.23,445.44,33.62,30.7,17.07,1.9695372,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,NA,2.974,3.518,0.0508,0.014440023,60.6,445.98,59.66,56.26,33.02,1.806783767,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,2.751,2.845,0.0422,0.01483304,57.08,444.97,56.36,52.58,30.2,1.866225166,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,NA,2.735,3.42,0.0441,0.012894737,54.1,446.83,53.35,49.87,29.59,1.802973978,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2000,NA,2.735,2.56,0.0378,0.014765625,49.98,447.09,49.88,46.74,26.88,1.855654762,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,NA,2.895,2.883,0.0421,0.014602844,54.23,447.53,53.49,49.83,29.08,1.839408528,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,2000,field duplicate,2.973,2.877,0.0417,0.014494265,54.13,445.9,53.56,50.27,28.88,1.854570637,NA
R5ex,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,extra sample,3.505,3.2435,0.077,0.023739787,104.34,449.14,104.28,99.96,61.29,1.701419481,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2000,NA,2.0565,1.977,0.0647,0.032726353,97.18,443.42,95.52,90.56,56.13,1.701763763,NA
