"Site Number","Site location","Cluster","Site Acronym","Arsenic (ug/L)","Perchlorate (ug/L)","date"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2007-03-12"
"HTC","Tempe Canal","tempe","head of tempe canal",7.7,NA,"2007-03-12"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",3.9,NA,"2007-03-12"
"NP In","tempe canal","tempe","North plant inlet",NA,NA,"2007-03-12"
"NP Out","Tempe Canal","tempe","north plant outlet",NA,NA,"2007-03-12"
"Pima","Arizona Canal","srp","az canal @ pima",4.5,NA,"2007-03-12"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.4,NA,"2007-03-12"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",2.7,NA,"2007-03-12"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.7,NA,"2007-03-12"
"R13","Steele Indian School Park","srp","az canal blw cap",5,NA,"2007-03-12"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",5.3,NA,"2007-03-12"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",0,NA,"2007-03-12"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",4.9,NA,"2007-03-12"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",0,NA,"2007-03-12"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",6.6,NA,"2007-03-12"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",0,NA,"2007-03-12"
"R20","Tangle Creek","verde","verde abv horseshoe",NA,NA,"2007-03-12"
